3.308,1.8399
3.5143,1.8579
3.7104,1.884
3.8865,1.9187
4.0339,1.9464
4.1393,1.9679
4.1882,1.9764
4.1893,1.9825
3.5159,1.8588
3.719,1.8837
3.9056,1.9166
4.064,1.9399
4.1813,1.9649
4.2439,1.9681
4.2555,1.9725
3.7159,1.8837
3.9099,1.9129
4.0791,1.9372
4.2115,1.9541
4.29,1.9552
4.3139,1.9579
3.8945,1.9151
4.0696,1.9346
4.2138,1.9459
4.3062,1.9437
4.34,1.9405
4.0446,1.945
4.1947,1.9509
4.2967,1.9405
4.3396,1.9313
4.1581,1.9554
4.2649,1.9421
4.3132,1.9341
4.2114,1.9567
4.2612,1.9447
4.1933,1.9707
3.4439,1.8337
3.6565,1.8745
3.8574,1.9111
4.0277,1.9465
4.153,1.9728
4.22,1.9812
4.2326,1.9795
3.6568,1.8739
3.8643,1.9059
4.0453,1.9378
4.1859,1.9601
4.2688,1.9665
4.2937,1.9672
3.8559,1.9056
4.0424,1.9364
4.194,1.9528
4.2914,1.9534
4.3261,1.9486
4.0257,1.9435
4.1834,1.9542
4.2908,1.9527
4.3341,1.9418
4.1551,1.9608
4.2668,1.9504
4.316,1.9426
4.2219,1.9662
4.2728,1.9551
4.2129,1.9736
3.5058,1.8438
3.739,1.9085
3.9436,1.9573
4.0993,1.9782
4.1898,1.9917
4.2183,1.9913
3.7378,1.9074
3.9478,1.9536
4.1144,1.9702
4.2193,1.9764
4.2571,1.9733
3.9422,1.9589
4.1146,1.9686
4.2295,1.9721
4.2765,1.9665
4.0974,1.974
4.2176,1.9725
4.2712,1.9662
4.1867,1.9884
4.2418,1.9809
4.1948,1.9956
3.4874,1.8558
3.7503,1.9484
3.9519,1.9782
4.0721,1.9971
4.1194,1.9946
3.7513,1.9473
3.9594,1.9725
4.0896,1.9869
4.1454,1.9815
3.9531,1.9772
4.0893,1.9844
4.1514,1.9765
4.0726,1.9951
4.136,1.9855
4.1045,1.9987
3.4396,1.8533
3.7146,1.9445
3.881,1.9714
3.9575,1.9844
3.714,1.9422
3.886,1.9672
3.9683,1.9724
3.8795,1.9743
3.963,1.9765
3.9458,1.9904
3.4053,1.848
3.633,1.9254
3.745,1.9474
3.6329,1.9267
3.7465,1.9431
3.7395,1.9502
3.3841,1.8414
3.5221,1.8939
3.5204,1.8943
3.3226,1.8339
