"citx","aity"
3.56233333333333,2.37023333333333
3.80246666666667,2.54146666666667
4.02073333333333,2.6956
4.21206666666667,2.826
4.36543333333333,2.92156666666667
4.47163333333333,2.97533333333333
4.5197,2.98896666666667
4.5169,2.9799
3.80456666666667,2.54163333333333
4.03096666666667,2.70033333333333
4.23423333333333,2.8363
4.39976666666667,2.9416
4.51973333333333,3.0044
4.58183333333333,3.02883333333333
4.5898,3.02853333333333
4.02803333333333,2.7006
4.23973333333333,2.842
4.4191,2.9558
4.5557,3.03316666666667
4.63396666666667,3.06953333333333
4.65516666666667,3.07756666666667
4.2221,2.83413333333333
4.40813333333333,2.95156666666667
4.5582,3.03856666666667
4.6524,3.08586666666667
4.6844,3.1004
4.37813333333333,2.93383333333333
4.5333,3.0248
4.63886666666667,3.0797
4.68256666666667,3.09996666666667
4.4919,2.99663333333333
4.60376666666667,3.05393333333333
4.6543,3.07873333333333
4.54423333333333,3.01236666666667
4.59633333333333,3.03806666666667
4.52246666666667,2.9857
3.72326666666667,2.4775
3.96503333333333,2.64623333333333
4.18503333333333,2.796
4.36326666666667,2.9126
4.48923333333333,2.982
4.555,3.00973333333333
4.56496666666667,3.0114
3.9662,2.6481
4.1939,2.80333333333333
4.38536666666667,2.92813333333333
4.52843333333333,3.01176666666667
4.61043333333333,3.05056666666667
4.63336666666667,3.06103333333333
4.18363333333333,2.79803333333333
4.38223333333333,2.92683333333333
4.53783333333333,3.01956666666667
4.63583333333333,3.06973333333333
4.6697,3.08873333333333
4.362,2.91476666666667
4.52336666666667,3.01113333333333
4.6336,3.07053333333333
4.67796666666667,3.0942
4.49103333333333,2.98886666666667
4.60693333333333,3.0501
4.6588,3.07823333333333
4.5568,3.0142
4.61033333333333,3.04343333333333
4.545,2.99763333333333
3.80386666666667,2.54206666666667
4.06526666666667,2.71976666666667
4.2831,2.8664
4.44033333333333,2.9565
4.52926666666667,3.0024
4.5558,3.0133
4.06353333333333,2.72026666666667
4.28766666666667,2.87093333333333
4.4579,2.96913333333333
4.56243333333333,3.02666666666667
4.5991,3.0456
4.28056666666667,2.86596666666667
4.4567,2.9693
4.57346666666667,3.035
4.62096666666667,3.0595
4.4372,2.9557
4.56056666666667,3.0245
4.61536666666667,3.0541
4.52476666666667,2.99856666666667
4.5817,3.02883333333333
4.52986666666667,2.99343333333333
3.80766666666667,2.56993333333333
4.09133333333333,2.7562
4.29426666666667,2.87713333333333
4.4126,2.94176666666667
4.4574,2.96726666666667
4.09206666666667,2.7571
4.3021,2.88323333333333
4.43186666666667,2.95596666666667
4.48693333333333,2.98653333333333
4.2956,2.8786
4.4324,2.95496666666667
4.49486666666667,2.99046666666667
4.41253333333333,2.9408
4.47753333333333,2.97716666666667
4.4424,2.9534
3.7722,2.5684
4.05243333333333,2.73586666666667
4.21956666666667,2.83023333333333
4.29336666666667,2.8731
4.05186666666667,2.73576666666667
4.22566666666667,2.83433333333333
4.30666666666667,2.88146666666667
4.21916666666667,2.82866666666667
4.30196666666667,2.8774
4.28256666666667,2.8638
3.72163333333333,2.5212
3.9571,2.65856666666667
4.07093333333333,2.72843333333333
3.9573,2.65826666666667
4.07346666666667,2.72926666666667
4.0649,2.723
3.67613333333333,2.46363333333333
3.82293333333333,2.55326666666667
3.82083333333333,2.5515
3.58703333333333,2.38496666666667
